Game,String Hoisting,visualSettings Refactor,Standard Tutorial,Notes
A Night in Oz,No,No,No,
An Apple a Day,No,No,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Anger Management,No,No,Yes,
Ankit's Trivia Night,Yes,Yes,No,
Bingo,No,No,No,
BLANK in 4 Words,No,No,No,tutorial group present but no who-needs-tutorial vote
Braggart,Yes,Yes,Yes,
BS,No,No,Yes,
Buffalo,No,No,Yes,
Bull Run,No,No,No,
Bunmi's Trivia Night,No,No,No,
Caption Contraption,No,No,No,tutorial group present but no who-needs-tutorial vote
Carte Royal Mafia,Yes,Yes,Yes,
Categorical,Yes,Yes,No,
Chasm,No,No,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Clash on Baker Street,No,No,No,tutorial group present but no who-needs-tutorial vote
Classic Mafia,No,No,No,tutorial group present but no who-needs-tutorial vote
Climb the Ladder,No,No,No,tutorial group present but no who-needs-tutorial vote
Clowns Applaud Insanity,No,No,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Coalition,No,No,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Coffee Up,No,No,No,tutorial group present but no who-needs-tutorial vote
Concealment,No,No,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Contour,No,No,Yes,
Contrarian,Yes,Yes,Yes,
Cops and Robbers,No,No,Yes,
Court in Chaos,No,No,No,tutorial group present but no who-needs-tutorial vote
Deal or Death,No,No,No,tutorial group present but no who-needs-tutorial vote
Dodgeball,No,No,No,"tutorial vote present, no matching tutorial group detected"
Dodgeball League,No,No,No,"tutorial vote present, no matching tutorial group detected"
Duplicate,No,No,No,tutorial group present but no who-needs-tutorial vote
Eclipse,No,No,No,tutorial group present but no who-needs-tutorial vote
Emeralds,No,No,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Enigma,No,No,Yes,
Euchre,Yes,Yes,Yes,
Evil Santa,No,No,No,tutorial group present but no who-needs-tutorial vote
Fishbowl,Yes,Yes,Yes,
Fishbowl League,Yes,Yes,Yes,
Fugitive,No,No,No,tutorial group present but no who-needs-tutorial vote
Galactic Shogun,No,No,No,tutorial group present but no who-needs-tutorial vote
Galaxy Brain,No,No,No,tutorial group present but no who-needs-tutorial vote
Gaslight,Yes,Yes,Yes,
Greater Fool,No,No,No,tutorial group present but no who-needs-tutorial vote
Groupthink,Yes,Yes,No,tutorial group present but no who-needs-tutorial vote
Grunt!,Yes,Yes,Yes,
Handshake,No,No,Yes,
Hearts,No,No,Yes,
Hungarian Mafia,No,No,No,"tutorial vote present, no matching tutorial group detected"
Interference,No,No,Yes,
Is it a Word?,No,No,No,tutorial group present but no who-needs-tutorial vote
Jackpot Genius,No,No,No,
Knockout,Yes,Yes,Yes,
Kubrat's Trivia Morning,No,No,No,
Kubrat's Trivia Night,No,No,No,
Lexicon,Yes,Yes,Yes,
Mad Match Up,No,No,No,
Mafia Shootout,Yes,Yes,No,"tutorial vote present, no matching tutorial group detected"
Markup,No,No,No,"tutorial vote present, no matching tutorial group detected"
Nexus,No,No,No,tutorial group present but no who-needs-tutorial vote
Not My Problem,Yes,Yes,Yes,
Nothing but Net,No,Yes,Yes,
One More Step,No,No,Yes,
Open Trivia Night!,No,No,No,
Pageant,Yes,Yes,Yes,
Paper Tiger,No,No,Yes,
Parrot Party,No,No,No,tutorial group present but no who-needs-tutorial vote
Passengers,No,No,No,tutorial group present but no who-needs-tutorial vote
Pecking Order,No,No,No,tutorial group present but no who-needs-tutorial vote
Phantom Ink,No,No,No,tutorial group present but no who-needs-tutorial vote
Phantom Ink League,No,No,No,
Picky Eaters,No,No,No,tutorial group present but no who-needs-tutorial vote
Piranha,Yes,Yes,Yes,
Piranha Puzzle,No,No,No,
Pitfall,Yes,Yes,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Pitfall League,No,No,No,
Portmanteau,No,No,No,tutorial group present but no who-needs-tutorial vote
Quantum Pitfall,No,No,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Rainbow Blackjack,Yes,Yes,Yes,
Rat in the Kitchen,No,No,Yes,
Rhyme Time,Yes,Yes,Yes,
ROLF,No,No,No,tutorial group present but no who-needs-tutorial vote
Roundabout,No,No,Yes,
Royal Mafia,No,No,No,"tutorial vote present, no matching tutorial group detected"
Runner Up,No,No,Yes,
Scorekeeping,No,No,No,
Shark!,Yes,Yes,Yes,
Sketchophone,No,No,No,
Snekophone,No,No,No,
Sound Act Draw!,No,No,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Spades,No,No,No,tutorial group present but no who-needs-tutorial vote
Spectrum,No,No,Yes,
Speedfall,Yes,Yes,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Spicy Peppers,No,No,No,tutorial group present but no who-needs-tutorial vote
Spy Noir,Yes,Yes,Yes,
Spycraft,Yes,Yes,Yes,
Squarefall,Yes,Yes,Yes,
Stockings,No,No,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Stoneball,Yes,Yes,Yes,
Super Dark,No,No,No,"tutorial vote present, no matching tutorial group detected"
Team Trivia,No,No,No,tutorial group present but no who-needs-tutorial vote
